id,nev,cel,belepesi_pont,auth_szukseges,fo_interakciok,adatforrasok,validaciok,kezelt_allapotok,a11y
S01,Login / Regisztráció,"Bejelentkezés vagy új fiók létrehozása diák vagy tanár szerepkörrel.","induló",nem,"módváltás login/register; role selector; email vagy username megadás; email megadás; username megadás; jelszó megadás; submit","POST /api/auth/login; POST /api/auth/register; localStorage mentora_token és mentora_user","required mezők; email type validáció; jelszó minimum 6 karakter backend oldalon; username regex backend oldalon; hibaüzenet piros panelben","error; success","natív form mezők és gombok; látható focus state; explicit label elemek; külön ARIA címkézés nincs"
S02,Tanári dashboard,"A tanár áttekinti a statisztikákat, témákat és saját kvízeit, majd innen indítja a fő műveleteket.","S01",igen,"új kvíz; eredmények oldal; téma létrehozása; téma megnyitása; téma megosztása; kvíz indítása; kvíz megosztása; kvíz szerkesztése; kvíz törlése","GET /api/users/me/overview; GET /api/topics; GET /api/quizzes","téma létrehozásnál név szükséges implicit módon; kvíz törlés megerősítés confirm dialóggal","loading; empty; success","natív button és link elemek; billentyűzetről kezelhető; külön landmark/ARIA strukturálás limitált"
S03,Diák dashboard - Saját kvízek,"A diák a saját kvízeit, gamification összefoglalóját és badge-jeit látja.","S01",igen,"tab váltás; új kvíz; kvíz indítása; kvíz megosztása; kvíz szerkesztése; kvíz törlése","GET /api/users/me/overview; GET /api/quizzes; GET /api/topics","kvíz szűrés selecten keresztül; kvíz törlés confirm dialóggal","loading; empty; success","natív gombok, linkek és select; focus style van; külön screen reader optimalizálás nincs dokumentálva"
S04,Diák dashboard - Velem megosztva,"A diáknak megosztott kvízek listázása és megnyitása, opcionálisan továbbosztása.","S03",igen,"tab váltás; megosztott kvíz megnyitása; továbbosztás","GET /api/quizzes/shared-with-me","nincs saját formvalidáció ezen a nézeten","loading; empty; success","natív link és button használat; külön ARIA attribútum nincs"
S05,Diák dashboard - Kvíz hozzáadás,"A diák link vagy token alapján felvesz egy megosztott kvízt a saját felületére.","S03 vagy S04",igen,"token vagy link beillesztése; hozzáadás","POST /api/share/claim","minimum token hossz ellenőrzés frontend oldalon; hibaüzenet inline státuszban","loading; error; success","natív input és button; állapotüzenet vizuálisan látható; ARIA live régió nincs"
S06,Diák dashboard - Témák,"A diák a számára elérhető témákat látja, illetve kóddal vagy linkkel hozzá tud adni új témát.","S03 vagy S04 vagy S05",igen,"tab váltás; téma kód/link megadása; hozzáadás; téma megnyitása","GET /api/topics; POST /api/topics/share/claim","üres token nem kerül feldolgozásra; státusz visszajelzés siker vagy hiba esetén","success; error","natív form kontrollok; külön ARIA címkék nincsenek"
S07,Kvíz létrehozása / szerkesztése modal,"Lépésenkénti wizardban új kvíz és kérdéssor létrehozása vagy meglévő szerkesztése.","S02 vagy S03",igen,"wizard lépések váltása; alapadatok kitöltése; kérdés hozzáadása; kérdés szerkesztése; végső mentés","GET /api/quizzes/:id; GET /api/quizzes/:id/questions; GET /api/topics; POST /api/quizzes; PUT /api/quizzes/:id; POST /api/quizzes/:id/questions; PUT /api/quizzes/:id/questions/:questionId","cím kötelező; legalább egy kérdés szükséges; egy kérdéshez legalább 2 válasz szükséges; szerkesztés alatt nem véglegesíthető; hibák error panelben jelennek meg","loading; error; success","natív űrlap-elemek; modal overlay kattintással zárható; fókuszcsapda nincs implementálva"
S08,Kvíz megosztás modal,"Megosztási link vagy token generálása címzettekkel és továbbosztási opcióval.","S02 vagy S03 vagy S04",igen,"címzettek megadása; továbbosztható checkbox; link generálása; link másolása; kód másolása; email és WhatsApp megosztás","POST /api/quizzes/:id/share","email lista opcionális; backend hibaüzenet panelben jelenik meg","loading; error; success","natív textarea, checkbox, gombok; külön ARIA modal kezelés nincs"
S09,Téma megosztás modal,"Megosztási token generálása egy témához.","S02",igen,"címzettek megadása; továbbosztható checkbox; token generálása; token másolása","POST /api/topics/:id/share","backend hiba inline státuszban; címzett lista opcionális","loading; error; success","natív textarea, checkbox, gombok; fókuszkezelés alap böngésző szintű"
S10,Kvíz kitöltés,"A felhasználó kérdésről kérdésre kitölt egy autentikált kvízt.","S02 vagy S03 vagy S17",igen,"válasz kijelölése; következő; befejezés; kilépés","GET /api/quizzes/:id/questions; POST /api/quizzes/:id/attempt","következő gomb disabled amíg nincs választás","loading; empty; success","kattintható option cardok; kilépés gomb; billentyűzetes működés részben natív, de custom cardok miatt nem teljes"
S11,Kvíz eredmény,"A kitöltés után a user azonnali százalékos eredményt és visszajelzést kap.","S10",igen,"vissza dashboardra; újrapróbálom","POST /api/quizzes/:id/attempt eredménye","nincs form validáció","success; error alert submit hiba esetén","nagy vizuális visszajelzés; natív gombok; képernyőolvasó optimalizálás nincs külön kezelve"
S12,Nyilvános megosztott kvíz,"Public tokenes linken keresztül megnyitott megosztott kvíz kitöltése autentikáció nélkül.","deep link",nem,"válasz kijelölése; előző; következő; befejezés","GET /api/share/:token; POST /api/share/:token/submit","hibás token esetén hibanézet; befejezés submit hibája alertben jelenik meg","loading; error; success","natív gombok és kattintható kártyák; explicit ARIA nélkül"
S13,Nyilvános megosztott kvíz eredmény,"A public megosztott flow eredményképernyője százalékos visszajelzéssel.","S12",nem,"újrapróbálom; vissza","POST /api/share/:token/submit eredménye","nincs form validáció","success","nagyméretű eredményvizualizáció; natív gombok"
S14,Eredmények / analitika,"A tanár kvízenként és próbálkozásonként elemzi a hallgatói eredményeket.","S02",igen,"kvíz kiválasztása; próbálkozás kiválasztása","GET /api/quizzes; GET /api/quizzes/:id/results","nincs külön form validáció","loading; empty; success","natív select és gombok; vizuális grafikonok egyszerű div alapú progress sávokkal"
S15,Küldetések,"A diák megnézi az elmúlt napok küldetéseit és előrehaladását.","S03",igen,"navigáció a navbarból","GET /api/users/me/missions?limit=28","nincs form validáció","loading; empty; success","kártya alapú listázás; natív navigációs elemek"
S16,Profil,"A user az alap fiókadatait és diák esetén a játékosítási összegzést látja.","S02 vagy S03 vagy S14 vagy S15",igen,"navigáció a navbarból","GET /api/users/me/overview; AuthContext user adatok","nincs form validáció","success","strukturált szöveges tartalom; natív link alapú navigáció"
S17,Téma részletei,"Egy téma alatt a kapcsolódó kvízek és tanulókártyák egy helyen jelennek meg.","S02 vagy S06",igen,"vissza; kvíz indítása; kártya létrehozása; gyakorló mód váltása; kártya lapozása; kártya törlése","GET /api/topics/:id; GET /api/quizzes?topic_id=...; GET /api/flashcards?topic_id=...; POST /api/flashcards; DELETE /api/flashcards/:id","új kártyához front és back szükséges implicit módon","loading; empty; success","natív inputok és gombok; a flashcard flip interakció egérre optimalizált"
